Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,582,0,120.0,170.38366512027483,78.98250000000928,1161.9776999999997,24434.0,6.5000077432875445,0.0,120,130,140,180,380,500,620,700,1200,1200,1200
GET,/2023/06/15/post2/,532,0,120.0,166.68206823308253,81.54320000000226,757.2489000000076,27879.0,5.941587834070401,0.0,120,130,140,160,350,500,590,660,760,760,760
GET,/2023/06/17/post1/,545,0,120.0,175.41504917431186,83.62439999999793,817.1269999999993,23733.0,6.086777010466858,0.0,120,140,150,170,380,510,640,750,820,820,820
GET,/2023/06/17/post3/,560,0,120.0,163.97038321428545,80.97929999999565,1162.9265,23544.0,6.254302983232002,0.0,120,130,140,150,310,460,600,670,1200,1200,1200
,Aggregated,2219,0,120.0,169.11346092834586,78.98250000000928,1162.9265,24863.15502478594,24.782675571056807,0.0,120,130,140,160,360,500,610,680,820,1200,1200
